WIDTH,HEIGHT,TOTAL ACTUAL WEIGHT,TOTAL BLANK WEIGHT
1080,1110,9.75,10.82
1110,1110,10.06,11.12
1140,1110,10.22,11.43
1170,1110,10.53,11.74
1200,1110,10.83,12.04
600,1140,5.47,6.06
630,1140,5.78,6.38
660,1140,6.10,6.70
690,1140,6.27,7.01
720,1140,6.58,7.33
750,1140,6.89,7.64
780,1140,7.21,7.96
810,1140,7.52,8.27
840,1140,7.69,8.59
870,1140,8.00,8.90
900,1140,8.32,9.22
930,1140,8.63,9.54
960,1140,8.94,9.85
990,1140,9.11,10.17
1020,1140,9.43,10.48
1050,1140,9.74,10.80
1080,1140,10.05,11.11
1110,1140,10.36,11.43
1140,1140,10.53,11.74
1170,1140,10.85,12.06
1200,1140,11.16,12.38
600,1170,5.63,6.23
630,1170,5.95,6.55
660,1170,6.27,6.88
690,1170,6.45,7.20
720,1170,6.78,7.52
750,1170,7.10,7.85
780,1170,7.42,8.17
810,1170,7.74,8.50
840,1170,7.92,8.82
870,1170,8.24,9.14
900,1170,8.56,9.47
930,1170,8.88,9.79
960,1170,9.20,10.12
990,1170,9.38,10.44
1020,1170,9.70,10.76
1050,1170,10.02,11.09
1080,1170,10.35,11.41
1110,1170,10.67,11.74
1140,1170,10.85,12.06
1170,1170,11.17,12.38
1200,1170,11.49,12.71
600,1200,5.74,6.39
630,1200,6.07,6.72
660,1200,6.40,7.06
690,1200,6.57,7.39
720,1200,6.90,7.72
750,1200,7.23,8.05
780,1200,7.56,8.39
810,1200,7.89,8.72
840,1200,8.06,9.05
870,1200,8.39,9.38
900,1200,8.72,9.72
930,1200,9.05,10.05
960,1200,9.38,10.38
990,1200,9.55,10.71
1020,1200,9.88,11.05
1050,1200,10.21,11.38
1080,1200,10.54,11.71
1110,1200,10.87,12.04
1140,1200,11.04,12.38
1170,1200,11.37,12.71
1200,1200,11.70,13.04
